,County,State,Outbreak Date,Flock Type,Flock Size
170,Franklin,Idaho,12-10-2024,WOAH Non-Poultry,40
171,La Plata,Colorado,12-10-2024,WOAH Non-Poultry,20
172,Moody,South Dakota,12-10-2024,Commercial Turkey Meat Bird,46700
173,Jefferson,Idaho,12-10-2024,WOAH Non-Poultry,60
174,Cedar,Missouri,12-10-2024,WOAH Non-Poultry,20
175,Charles Mix,South Dakota,12-10-2024,Commercial Turkey Meat Bird,32400
176,Beadle,South Dakota,12-10-2024,Commercial Turkey Meat Bird,52200
177,Tulare,California,12-10-2024,Commercial Broiler Production,330200
178,Daviess,Missouri,12-10-2024,WOAH Poultry,19900
179,Lafayette,Arkansas,12-09-2024,WOAH Non-Poultry,40
180,Beadle,South Dakota,12-09-2024,Commercial Turkey Meat Bird,50600
181,Kern,California,12-09-2024,WOAH Poultry,45400
182,Hutchinson,South Dakota,12-09-2024,Commercial Turkey Meat Bird,42800
183,Prowers,Colorado,12-09-2022,Commercial Upland Gamebird Producer,11000
184,Clackamas,Oregon,12-09-2022,WOAH Non-Poultry,60
185,Onslow,North Carolina,12-09-2022,WOAH Non-Poultry,60
186,Osage,Missouri,12-09-2022,Commercial Turkey Meat Bird,19700
187,Polk,Oregon,12-09-2022,WOAH Non-Poultry,70
188,Barton,Kansas,12-08-2023,WOAH Non-Poultry,30
189,Mills,Iowa,12-08-2023,WOAH Non-Poultry,10
190,Charles Mix,South Dakota,12-08-2023,Commercial Turkey Meat Bird,32400
191,Barron,Wisconsin,12-08-2023,Commercial Turkey Meat Bird,70000
192,Hamlin,South Dakota,12-08-2022,Commercial Turkey Meat Bird,58100
193,Dodge,Minnesota,12-08-2022,Commercial Turkey Meat Bird,10000
194,Dade,Missouri,12-08-2022,WOAH Non-Poultry,30
195,Hardin,Ohio,12-07-2023,Commercial Table Egg Layer,2613600
196,Stanislaus,California,12-07-2023,Commercial Broiler Production,258600
197,Orleans,Vermont,12-07-2023,WOAH Non-Poultry,40
198,Sonoma,California,12-07-2023,Commercial Duck Meat Bird,4900
199,Carroll,Arkansas,12-07-2023,Commercial Turkey Meat Bird,33300
200,Montmorency,Michigan,12-07-2023,WOAH Poultry,100
201,Darke,Ohio,12-07-2023,Commercial Turkey Meat Bird,15200
202,Cherokee,Iowa,12-07-2022,Commercial Turkey Meat Bird,105000
203,Sac,Iowa,12-07-2022,Commercial Turkey Meat Bird,40000
204,Kingsbury,South Dakota,12-07-2022,WOAH Non-Poultry,70
205,Stanislaus,California,12-06-2024,WOAH Poultry,44100
206,Nemaha,Nebraska,12-06-2024,Commercial Turkey Breeder Hens,12400
207,Sioux,Iowa,12-06-2024,Commercial Table Egg Layer,4200000
208,Washakie,Wyoming,12-06-2024,WOAH Non-Poultry,20
